"Timestamp","What is your association status at IIASA?","What is your gender?","How long have you lived in Austria?","Do you have dependents living with you in Austria?","How long have you lived separately from your families due to your IIASA employment? ","What is the main reason for you to live separately from your families? (Select all that apply)","If you want to provide more details about the reason, please do so.","Do you foresee that they join you in Austria in the near future?","How long have you lived in Austria WITH your children?","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 1]","How many children do you have and how old are they? (If you have none, leave them blank.) [child 2]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 3]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 4]","How many children do you have and how old are they? (If you have none, leave them blank.) [Child 5]","Do any of your children stay involuntarily at home (i.e. not attending kindergarten or school)? If so, why?","Are you aware that in accordance with Austrian labor law you can have extra leave, separate from normal annual leave, for nursing your family members (when certain conditions are met)?","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [IIASA HR]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Other IIASA families]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Other non-IIASA friends]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Local government]","Who do you rely on when you need information about childcare (e.g. insurance, schools/kindergartens, financial support, pediatricians, etc.)? [Internet]","How much do you think you are paying for childcare per month per child? (e.g. babysitting, tuition, other activities, etc.)","Are you receiving family allowance (""familienbeihilfe"") for all of your eligible children at the moment?","If you are not receiving it, can you tell us the reason?","If you are from the EU, how difficult was the application process for familienbeihilfe?","Are all children covered by health insurance?","If they are not, can you tell us the reason?","Do they all have pediatricians to go to?","If they don't, can you tell us the reason?","Are you covered by the private (Cigna) or the Austrian scheme?","Please leave any notes if you have any concerns or issues about medical care or insurances in Austria.","Are you or your partner from Austria?","Are you or your partner from other EU countries?","Are you or your partner able to communicate in German?","Are you or your partner learning German now?","If no adult in your family is learning German, what are the main reasons? (Select all that apply)","What are the main challenges you experience when you don't communicate well in German in Austria?","Does your family have a social circle who you can easily get together with or rely on when something happens?","Who mainly are in your social circles? (Select all)","If you are finding it difficult to socialize, can you explain what your main challenge is?","Does your partner currently work?","How long did it take for your partner to find a job since starting to search?","Is your partner working in the field related to his/her original career/qualifications?","Is your partner looking for a job now?","If the partner is not looking, was it a voluntary decision?","What are/were the barriers for your partner's career development in Austria? (Select all that apply)","If you want to provide more details about the job search or business experiences, please do so.","How would you assess each of the challenges? [Socializing]","How would you assess each of the challenges? [Financial]","How would you assess each of the challenges? [Partner's job/career]","How would you assess each of the challenges? [Childcare (incl. Education)]","How helpful do you think it would be to officially introduce the measures below for the benefit of families? [Flextime]","How helpful do you think it would be to officially introduce the measures below for the benefit of families? [Telecommuting (work from home)]","Many Austrian organisations jointly run ""Dual Career Service"" to facilitate ""the networking of member organisations from the research and scientific domain [...] to improve the support for dual career couples."" (See for example, http://www.dualcareer.ac.at or http://dcss.wwtf.at) How helpful do you think it would be for IIASA to join such network?  [Dual Career Service]","Would you recommend other specific measures or services to implement to increase family well-being?","We would like to welcome any other suggestions on the topic of 'family well-being at IIASA.' (e.g. how to improve the situation, any other difficulties, how to set up information channels, etc.)"
"2017/11/07 6:08:22 PM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","More than 10 years","13-17","7-12","","","","No.","No","Rarely","Rarely","Most of the time","Rarely","From time to time","EUR 400-600","Yes","","1","Yes","","Yes","","Combination of both","","No","Yes, both","Yes, both","","","","1","IIASA colleagues or their families;Families of my children's school/kindergarten friends;People from the same country or similar region;People living in the same neighborhood","","No","","","She is studying","My partner recently lost her job and decided she wanted to become a photographer. She is currently doing a course with the view to setting up her own photography business.","Language;Cultural differences;Too small job market","","We don't have this problem.","A minor problem.","Somewhat problematic.","A minor problem.","Extremely helpful","Extremely helpful","Extremely helpful","","Over the last few years, I have seen very positive developments in terms of child-friendly policies at IIASA (e.g. paternity leave, equity in terms of Familienbeihilfe, more information for families etc). This is in stark contrast to when I joined IIASA in 2005 with a two year old and pregnant wife (e.g. no paternity leave, no info on Familienbeihilfe - I actually discovered 3 years later that we were eligible for this). Many of these improvements have focused on young children, and I think this is great. However, I would like you to consider some improvements for families with older children in the interest of equity between families. My suggestion would be to extend the education grant to cover university education (many international organizations do this). Recently more and more universities are charging tuition fees and this is likely to increase. Further when IIASA's education grant policy was set, very few universities charged fees. I would certainly consider changing employer for one that contributes to uni fees when my children become 18. "
"2017/11/07 6:53:42 PM GMT+1","Employee","Female","","Yes, with children.","","","","","","13-17","","","","","","No","Never","Rarely","Rarely","","","","No","I am a foregner and I thought that I am not eligible for family allowance ","","Yes","","No","We did not use pediatrician, but have family doctor. ","Cigna","I would like to change to austrian scheme but was told that it is not possible since I have been from the begining subscribed to Cigna.  ","No","No","Yes, myself","No","I am not learning German since I have sufficient basic level for communication","","2","IIASA colleagues or their families;Families of my children's school/kindergarten friends","No I do not find it difficult to socialize","no partner","no partner","x","","","x","","We don't have this problem.","A minor problem.","","We don't have this problem.","Better to have","","","","One idea was to organize family club at IIASA and to have someone who would explain newcommers some rules regarding benefits, school, kindergarden and childcare in Austria. This can be done even by compiling a family package (introductory guide for visitors and scientist  who start to work at IIASA and come with their families). Even having emails of colleagues with families at IIASA would be helpful to contact for basic questions the colleagues who have been for sometime working in Austria and know basic setup and rules.  "
"2017/11/07 7:56:56 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","1-3 years","3-6","0-2","","","","","No","","From time to time","","","Most of the time","EUR 0-200","Yes","","3","Yes","","Yes","","Combination of both","","No","Yes, both","Yes, both","","","","2","IIASA colleagues or their families;Families of my children's school/kindergarten friends","","Yes, paid part-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Better to have","","At the moment there are still differences in treatment regarding family benefits between non-European and European staff, who are both in the private system as the latter have to rely on lower benefits offered to 'Europeans' by the Austrian government, while the latter are fully and automatically compensated directly by IIASA. IIASA should have one policy that applies to all staff equally."
"2017/11/07 7:57:02 PM GMT+1","Employee","Male","5-10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","No","No","Yes","No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","","4","IIASA colleagues or their families","language","No","","","would like to, but no permission","No","Language;Lack of work permit","","A minor problem.","Somewhat problematic.","Serious.","A minor problem.","Better not to have","Better not to have","Don't care","give preference to get job at IIASA for non-EU family members",""
"2017/11/07 8:38:34 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","1-3 years","0-2","","","","","No","No, iiasa employees (non Austrian) are exempt from this) ","Never","From time to time","From time to time","Rarely","From time to time","EUR 400-600","Yes","","3","Yes","","Yes","","Austrian","Other international organisations offer a supplementary private health insurance (cigna) for those in the public system. This would be really wonderful for families. ","No","Yes, my partner","Yes, both","","","","4","IIASA colleagues or their families;Partners colleagues ","Lack of opportunities to meet people ","Full time consultant ","Hired as consultant after one year internship ","Yes","","","","","Somewhat problematic.","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","The absolute number one priority in my opinion should be an official maternity leave policy. Additionally longer contracts (3yrs min) are needed for families to relocate. The current one year contract policy makes IIASA less attractive as an employer. Furthermore, the following would be nice: paternity leave policy, nursing schedules for new mothers, lactation room at iiasa.","The current ad hoc allocation of paternity leave by HR is very stressful for employees. Clarity is needed. Also it is very important to provide correct information upon hiring,as this is when the insurance scheme is selected. If the maternity /paternity leave depends on the insurance scheme, this should be explicitly stated upon hiring. "
"2017/11/07 9:42:17 PM GMT+1","Employee","Female","Less than a year","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","No","No","No","Yes","Lack of time;No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","It may be a challenge to find a English speaking medical doctor. We have also some problem when we want to hire somebody to fix basic things in our house (electrician, plumber etc)","2","IIASA colleagues or their families","Lack of time and language skills ","Yes, paid full-time","Less than 6 months","No","","","Language;Lack of network (people or other resources);Too small job market","","We don't have this problem.","A minor problem.","A minor problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/08 7:59:21 AM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","3-5 years","3-6","3-6","","","","no","Yes","Never","Never","Never","Most of the time","Most of the time","EUR 0-200","Yes","","1","Yes","","Yes","","Austrian","","Yes, myself","","","","","","1","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends;People from the same country or similar region","","No","","","Yes","","Language;Lack of network (people or other resources)","","Somewhat problematic.","Extremely serious. I can consider leaving because of this.","Serious.","A minor problem.","Don't care","Extremely helpful","Better to have","Reduce/restrict over hours and work loads so that people dont have to work on weekends or in the evenings when they are supposed to spend time with their family. ",""
"2017/11/08 8:09:33 AM GMT+1","Employee","Prefer not to say","More than 10 years","Yes, with children.","","","","","","7-12","3-6","","","","","Yes","Rarely","Most of the time","Rarely","From time to time","From time to time","EUR 200-400","Yes","","1","Yes","","Yes","","Austrian","","No","Yes, both","Yes, both","","","","2","Extended family (grandparents and other relatives);IIASA colleagues or their families;People living in the same neighborhood","","Yes, paid part-time","Less than 6 months","No","","","No barriers","","We don't have this problem.","A minor problem.","We don't have this problem.","A minor problem.","Don't care","Don't care","Don't care","",""
"2017/11/08 8:27:58 AM GMT+1","Employee","Male","3-5 years","Yes, with children.","","","","","1-3 years","0-2","","","","","no","Yes","From time to time","","","","Most of the time","EUR 0-200","Yes","","2","Yes","","Yes","","Austrian","","No","Yes, both","Yes, my partner","No","Lack of time;No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","","5","Extended family (grandparents and other relatives);IIASA colleagues or their families;We hardly know anyone.","","No","","","Yes","","Language;Lack of network (people or other resources);Too small job market","","Somewhat problematic.","A minor problem.","Serious.","A minor problem.","Better to have","Better to have","Extremely helpful","",""
"2017/11/08 8:34:54 AM GMT+1","Employee","Male","3-5 years","I am single.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/08 8:45:31 AM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","More than 10 years","7-12","3-6","","","","nu","Yes","Rarely","Never","Never","Most of the time","Most of the time","EUR 0-200","Yes","","","Yes","","Yes","","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends;People living in the same neighborhood","","Yes, paid full-time","","No","","","","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Useless","Useless","Don't care","",""
"2017/11/08 8:48:29 AM GMT+1","Employee","Male","More than 10 years","Yes, with children.","","","","","Less than a year","0-2","","","","","","Yes","Most of the time","Most of the time","Rarely","Never","Most of the time","EUR 200-400","Yes","","1","Yes","","Yes","","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives);IIASA colleagues or their families","","No","","","No","Yes","No barriers","","We don't have this problem.","A minor problem.","A minor problem.","A minor problem.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/08 8:58:18 AM GMT+1","Employee","Female","5-10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","No","Yes, both","Yes, both","","","","1","People from the same country or similar region","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","A minor problem.","We don't have this problem.","Extremely helpful","Better to have","Better to have","",""
"2017/11/08 9:00:33 AM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","5-10 years","7-12","","","","","","Yes","","","","","Most of the time","EUR 600-1000","Yes","","1","Yes","","Yes","","Austrian","","Yes, myself","","","","","","2","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends","","no partner","","","","","","","","Somewhat problematic.","","","Better to have","Extremely helpful","","",""
"2017/11/08 9:02:43 AM GMT+1","Employee","Female","Less than a year","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, my partner","","","","","","4","Extended family (grandparents and other relatives)","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","Somewhat problematic.","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","","more social events out of hours and in Vienna"
"2017/11/08 9:05:43 AM GMT+1","Employee","Prefer not to say","5-10 years","Yes, with children.","","","","","1-3 years","0-2","","","","","","Yes","Never","Rarely","Most of the time","Rarely","Most of the time","EUR 400-600","Yes","","4","Yes","","No","Could only find private pediatrician. ","Austrian","I used to have both, but I lost Cigna when I moved to IIASA... because I have to be in the AT system as I was insured in AT before","Yes, my partner","","","","","","2","Extended family (grandparents and other relatives)","","Yes, paid full-time","6 months -  2 years","below qualifications","","","Lack of network (people or other resources);Too small job market","","A minor problem.","Somewhat problematic.","Somewhat problematic.","Extremely serious. I can consider leaving because of this.","Extremely helpful","Extremely helpful","Extremely helpful","daycare recommendations around IIASA (Tagesmutter, kindergarden)","organize once in a while an informal gathering for parents at IIASA and formal HR info sessions customized to families"
"2017/11/08 9:08:46 AM GMT+1","Employee","Female","Less than a year","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","No","No","No","Lack of time;No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","Appoinment with medical professionals","3","IIASA colleagues or their families","","Yes, as a volunteer (unpaid)","","","Yes","","Lack of network (people or other resources);Lack of work permit;No barriers","","Somewhat problematic.","A minor problem.","Somewhat problematic.","Somewhat problematic.","Better to have","Better to have","Better to have","",""
"2017/11/08 9:10:52 AM GMT+1","Employee","Male","5-10 years","Yes, with children.","","","","","","7-12","","","","","No","Yes","Rarely","From time to time","Most of the time","","Most of the time","EUR 200-400","Yes","","1","Yes","","Yes","","Austrian","","No","Yes, both","Yes, both","","","","3","Families of my children's school/kindergarten friends;People from the same country or similar region","It is difficult to socialize with native Austrians","No","","","Yes","","Language;Lack of network (people or other resources)","","Somewhat problematic.","Somewhat problematic.","Serious.","A minor problem.","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/08 9:59:37 AM GMT+1","Employee","Male","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives)","","Yes, paid full-time","Less than 6 months","No","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Better to have","""Papamonat"" (unpaid leave for father during first weeks after birth). This is included in the ""Kollektivvertrag Außeruniversitäre Forschung"".",""
"2017/11/08 10:00:34 AM GMT+1","Employee","Female","5-10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Combination of both","","No","Yes, myself","Yes, both","","","","1","IIASA colleagues or their families;People from the same country or similar region","","Yes, paid full-time","He was already working here when we met","Yes","","","","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","","Extremely helpful","Extremely helpful","Regarding flextime, while the official hours of IIASA are 08:30-17:30, in reality some form of flextime is already unofficially in place in the team where I work. If by flextime it is meant that staff are required to clock in and out, I think that this should not be introduced. However, for those staff that do not have such an unofficial arrangement in place it is a little unfair.",""
"2017/11/08 10:04:52 AM GMT+1","Employee","Male","1-3 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","Contraceptives are not covered.","No","No","No","Yes","","","3","IIASA colleagues or their families","Lack of time in and around our home in Vienna (long travel times to IIASA).","Yes, paid full-time","6 months -  2 years","Yes","","","Lack of network (people or other resources);Lack of work permit","","Somewhat problematic.","A minor problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","Organizing after-work meet ups in Vienna (e.g., happy hours)","We do not yet have children, but I suspect that assisting with child care services would be of great import (e.g., an IIASA day care)."
"2017/11/08 10:31:11 AM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","More than 10 years","7-12","3-6","","","","","Yes","Rarely","Rarely","From time to time","Never","Most of the time","EUR 600-1000","Yes","","1","Yes","","Yes","","Austrian","","No","Yes, both","Yes, both","","","","1","Extended family (grandparents and other relatives);People living in the same neighborhood","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Don't care","Better to have","Better to have","",""
"2017/11/08 10:34:19 AM GMT+1","Employee","Female","3-5 years","Yes, with children.","","","","","1-3 years","0-2","","","","","no","No","From time to time","From time to time","Most of the time","","From time to time","EUR 0-200","No","did not apply yet","","Yes","","Yes","","Cigna","I would like to remove my daughter from the private insurance, and keep her only on my husband's public insurance, but I am not sure about finding a new doctor and how the procedure works - e.g. long wait times, what to do in emergencies, etc.","No","Yes, my partner","No","Yes","Lack of time;Finance","not understanding benefits available to us, missing opportunities, not making the best financial decisions","3","IIASA colleagues or their families;People from the same country or similar region","","Yes, paid part-time","","Yes","","","dependent on getting grants in small and competitive academic field","","A minor problem.","Serious.","Extremely serious. I can consider leaving because of this.","We don't have this problem.","Extremely helpful","Extremely helpful","","making childcare available at IIASA - not necessarily full time nursery, but something available for times of need - e.g. when partner is traveling, the kindergarten is closed, etc.","Given the long commute for most living in Vienna and not directly near the hauptbahnhoff, it would be very helpful to have more flextime or the ability to work from home to manage the demands of having small children - this is quite stressful and often leads to burnout"
"2017/11/08 10:43:29 AM GMT+1","Employee","Male","1-3 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","","No","No","No","Yes","Finance;No incentives (e.g. short fixed-term contract, uncertainty in contract renewal, etc)","challenges with administrative procedure (e.g. police registration, car registration,...) ","4","IIASA colleagues or their families;People from the same country or similar region","","No","","","Yes","No","Language;Lack of network (people or other resources);Lack of work permit","","A minor problem.","Somewhat problematic.","Extremely serious. I can consider leaving because of this.","We don't have this problem.","Don't care","Useless","Better to have","More support in terms of working permits for Non-EU citizens and in language learning for partners ","We need a clear understanding of our residence situation in Austria (green card) for non-EU citizens, especially related to the right of working of partners in Austrian companies. "
"2017/11/08 10:44:02 AM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","","Over 18","13-17","","","","no","Yes","","From time to time","","","From time to time","EUR 0-200","No","We do receive it but from the UN where my husband is employed (so not from Austria)","","Yes","","Yes","","Combination of both","","No","Yes, both","Yes, both","","","","2","Families of my children's school/kindergarten friends;People living in the same neighborhood","","Yes, paid full-time","It was the other way round that my partner got a job in Vienna and for me it took 1 year to find one.","Yes","","","Lack of network (people or other resources);Too small job market;These answers refer to me and not to my partner since he was the one first finding a job in Vienna.","","We don't have this problem.","We don't have this problem.","A minor problem.","Somewhat problematic.","Extremely helpful","Extremely helpful","Better to have","My children are grown-up now but when I started working at IIASA they were 3 and 7 years old and frequently sick. I was informed by HR on my first day that I was entitled to take 5 days per year to care for sick family-members. For dual career couples with small children 5 sick days per year (10 days per year for two persons) is simply impossible as small children are sick and required to stay out of kindergarten much more often. It was a shock for us, since in Sweden where we came from you have up to 60 days per child per year that you can take to care for them when they are sick. Most people will of course not need that many days, but 5 sick days in total is just impossible! Somehow and with a lot of stress and sometimes having grandparents flown in (and my husband being asked by his employer if he doesn't have a wife!), we did manage. I would however wish for my younger colleagues with small children that some of that (unnecessary) stress is taken away for them and that they can stay home with children that are sick and have the possibility to work more often from home when required. It seems to me that the current (maybe it has now changed?) system is set up for a time when men went to work and women stayed home full-time with children. But if we want more women to have careers the system and its rules must also allow for it.    ","See my previous answers."
"2017/11/08 11:06:36 AM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","5-10 years","7-12","3-6","","","","No","Yes","From time to time","From time to time","Most of the time","From time to time","Most of the time","EUR 400-600","Yes","","1","Yes","","Yes","","Generali","","No","Yes, both","Yes, both","","","","3","Families of my children's school/kindergarten friends;People living in the same neighborhood","No","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","A minor problem.","A minor problem.","A minor problem.","Extremely helpful","Extremely helpful","Better to have","Flextime & working from home can be really helpful if you don't have anyone else to rely on....",""
"2017/11/08 11:20:58 AM GMT+1","Employee","Prefer not to say","More than 10 years","Yes, with children.","","","","","3-5 years","3-6","0-2","","","","","Yes","Never","Never","From time to time","From time to time","Most of the time","EUR 0-200","Yes","","3","Yes","","Yes","","Austrian","","Yes, my partner","","","","","","1","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends;People from the same country or similar region;People living in the same neighborhood","","Yes, paid full-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Better to have","",""
"2017/11/08 2:08:02 PM GMT+1","Employee","Male","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, both","","","","","","2","Extended family (grandparents and other relatives);IIASA colleagues or their families","","Yes, paid part-time","Less than 6 months","Yes","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Extremely helpful","Extremely helpful","Extremely helpful","",""
"2017/11/08 3:48:39 PM GMT+1","Employee","Female","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Austrian","","Yes, myself","","","","","","1","Extended family (grandparents and other relatives);IIASA colleagues or their families;People from the same country or similar region","","Yes, self-employed - informal business","","","","","No barriers","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Better not to have","Useless","Better not to have","",""
"2017/11/08 7:56:07 PM GMT+1","Employee","Female","Less than a year","Yes, with children.","","","","","Less than a year","0-2","7-12","13-17","","","No","No","From time to time","Most of the time","","","Most of the time","EUR 0-200","Yes","","","Yes","","Yes","","Cigna","The refunds policy of Cigna doesen't work for me.","No","No","No","Yes","Finance","Comunication with the school staff, doctors, neighbours...to shop.. To contract an insurance...","4","IIASA colleagues or their families","Language","No","","","Yes","","Language;Lack of network (people or other resources)","","A minor problem.","A minor problem.","Extremely serious. I can consider leaving because of this.","Somewhat problematic.","Extremely helpful","Extremely helpful","Better to have","An area for children at IIASA",""
"2017/11/08 8:38:50 PM GMT+1","Employee","Female","More than 10 years","Yes, I cohabit with a partner or other family members.","","","","","","","","","","","","","","","","","","","","","","","","","","Cigna","cigna is okay...","No","Yes, both","No","No","Lack of time","Difficult to integrate to the  society. Temporal, visiting feeling...","1","People living in the same neighborhood","","retired","","retired","","","","","A minor problem.","Somewhat problematic.","We don't have this problem.","","Extremely helpful","Extremely helpful","","longer job contract to us, one year is too short","longer job contracts so that we can settle down"
"2017/11/08 9:09:46 PM GMT+1","Employee","Male","1-3 years","Yes, with children.","","","","","1-3 years","3-6","3-6","","","","no","No","Rarely","From time to time","Most of the time","From time to time","Rarely","EUR 200-400","No","I still receive Canadian family allowance","","Yes","","No","We didn't have to visit a doctor","Cigna","","No","No","Yes, my partner","Yes","","Getting all kinds of information: English is not much used outside Vienna. All educators at the Kindergarten for instance speak only German","3","People from the same country or similar region;People met through Facebook groups","It is mostly difficult with Austrian, because of language","No","","","No","No","Language;Lack of work permit","","Somewhat problematic.","Somewhat problematic.","Serious.","Somewhat problematic.","Useless","Better to have","Better to have","","The main problem being language, there is no easy solution. I would have appreciated more material/opportunities to learn German at IIASA. "
"2017/11/09 11:56:31 AM GMT+1","Employee","Female","1-3 years","Yes, with children.","","","","","1-3 years","3-6","3-6","7-12","","","No","yes, but I am not in agreement with the official information I received about the length (As I know it is 10 days if I have a child under 12, while I was told only 5 days)","Rarely","Rarely","Most of the time","Never","Most of the time","over EUR 1000","No","The application process is so complicated that I have not completed it yet, and I have no help how to do it. ","5","Yes","","No","They have not been sick so far to go to a doctor. Officially they are registered with the family doctor, but I would also need a pediatritian, but have not had the time to look for one (there is none in Modling under the ""kassa"", only private!)","Austrian","I am still not convinced the choice was good, and help was limittedly effective.","No","Yes, both","No","Yes","","It is almost impossible to arrange official administration (e.g. inscription to kindergardens or the family allowance or the insurance)","4","Extended family (grandparents and other relatives);People from the same country or similar region","lack of time, and lack of real openness of Austrian people we know.","Yes, paid full-time","He started to work first, it took me about one year to find something suitable","Yes, but he started here :) I am not working so much in my field, which makes problems for me","","","Language;Too small job market","Indeed I was the one who had to look for employment, when my partner started to work in Austria. But - in spite of the fact that Austria supports part time jobs a lot - I could not find anything in my expertise, which would be interesting, allow to arrange the children properly, and would not have to commute hours. Furthermore, I am still afraid of the conditions, e.g. what would happen if my kids got sick for a longer time (broke their leg or chicken pox - which takes at least 6-8 weeks with three kids...).","Extremely serious. I can consider leaving because of this.","Serious.","Somewhat problematic.","A minor problem.","Extremely helpful","Extremely helpful","Extremely helpful","1) Promote/arrange shared child care, 2) provide much much more information about local systems, eg. schooling system (I have no idea how to choose a school after the Volksschule), health insurance (the classic problem of Cigna and Austrian), but also the additional insuarnces, administrative obligations (related to car, Anbeschieldung (?), Meldezettel, etc. 3) Extend the leave possibilities, even beyond legal obligation. These families are in a very difficult situation, and IIASA would like professionals to move here for a year, which makes it very hard to adapt with a child, and hard to have help especially within a few months or a year. The grandparents are far away, it is very hard to find a good babysitter, and anyway it is not good for the child, nor for the parent that somebody else takes care of the child when he/she is sick. This should be better respected. 4) Give parental leave opportunities, as in the EU institutions. One could get few weeks (in the EU it is 6 months...) that can be taken and used for travelling home, or just spending enough time with the kids. These leaves are normally not paid, or only at a very low salary (e.g. 400 euro per month), but the position is kept and extended. 5) Finally, it is not possible to live a relaxed life with 6 months-1 year contract. One needs to have children inscribed in kindergardens in Vienna at leat 1-2-3 years in advance!! But we do not know if we are here next year. 6) Connected to the 5th point, a much stronger assistance in administration would be needed. E.g. one needs to arrange the family benefits already at the beginning, but this could be managed by IIASA, either HR or a peer group.",""
"2017/11/09 12:11:55 PM GMT+1","Employee","Female","More than 10 years","Yes, with children.","","","","","More than 10 years","13-17","","","","","","Yes","Most of the time","","","Most of the time","Most of the time","","Yes","","1","Yes","","No","Always going to the general practitioner if needed.","Austrian","","Yes, both","","","","","","1","Extended family (grandparents and other relatives);Families of my children's school/kindergarten friends","","Yes, paid full-time","","Yes","","","","","We don't have this problem.","We don't have this problem.","We don't have this problem.","We don't have this problem.","Better not to have","Better not to have","","",""
